product_name,Price,rating,category
"OrganoMagic Liquid Plant Booster | Speed Growth & Immunity | NPK Plant Growth Supplement | Organic Manure for Home, Indoor & Outdoor Garden | 5 Ltr",276.65,3.8,agriculture
IFFCO Urban Gardens - Sea Secret - 1Kg - Seaweed Extract Granules Ã¢â‚¬â€œ Organic Plant Growth Promoter & Bio-Stimulant,1604.63,4.1,agriculture
"IFFCO Urban Gardens - Green Diet - 500 ML - Organic Plant Food, Liquid Fertilizer For Potted Indoor & Outdoor plants, Balanced Macro & Micro Nutrients, Ready to Use Spray",557.08,3.7,agriculture
IFFCO Urban Gardens - Dr Neem+ Cake Powder/Neem Khali - 9Kg - Extracted Through Cold Press Technology - Higher Azadirachtin & Neem Oil Content - Organic Fertilizer and Pest Repellent for Plants,1600.25,4.2,agriculture
"YATAN NANDANI Dairy Vermicompost, Organic Supplement for Agriculture, 5.6-14.4% Organic Carbon, 0.8-1.8% Nitrogen",989.05,0.0,agriculture
"Plant Growth Supplement and Master Cutter for Gardening - Organic Plant Fertilizer, Gardening Tools Combo, Plant Nutrients, Plant Booster, Soil Enhancer, Vegetable and Flower Growth Supplement",620.57,4.9,agriculture
"Organic Carbon (250 gm) Fertilizer For Sueperior Crop Performance 100% Water Soluble | Use For Healthy Crops | Maximize Crop Yield and Natural Carbon Supplements, Boost Crop Resilience with OC",1154.48,5.0,agriculture
Hifield PROTECT Ã¢â‚¬â€œ 500 GM Silicon plant supplement powder | Silicon Powder.,628.6,5.0,agriculture
Kay Bee NOVA GA | Plant Growth Regulator for Agriculture and Garden | Reduce Stress caused Due to Biotic and Abiotic Factors - 100 ml,382.84,0.0,agriculture
ACUROBAC AG100 -EM/Bioculture for Agriculture (1 L),334.0,3.4,agriculture
"IFFCO Urban Gardens - Gypsum Meal -1.8kg - Organic Calcium Sulphate Fertilizer & Soil Conditioner for Lawns, Plants and Home Garden - Plant Nutrient Supplement in Slow-Release Powder",976.92,4.3,agriculture
OrganicDews Liquid Seaweed Concentrate for Plants 250 ml with Measuring Cup 25 ml Fertilizer for All Indoor and Outdoor Plants 250 ml,1570.21,4.1,agriculture
Feed Additives and Supplements for Ruminants,1911.41,0.0,agriculture
Ugaoo Neem Cake Powder for Plants 5 Kg - Organic Fertilizer & Pest Repellent,1255.95,4.0,agriculture
TrustBasket Epsom Salt for plants (1 KG) | Contains Magnesium Sulfur | Water Soluble Plant Fertilizer | Prevents yellowing of leaves | Plant growth supplement,1560.04,4.2,agriculture
World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),865.15,0.0,agriculture
China World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),509.83,0.0,agriculture
TrustBasket Nutrient Rich Organic Vermicompost Fertilizer Manure For Plants | Vermicompost For Plants | Compost For Plants Home Garden - 5 Kg,120.18,4.2,agriculture
"COIR GARDEN - Epsom Salt for Plants (5 KG) | Contains Magnesium Sulfur | Organic Fertilizer | Prevents Yellowing of Leaves | Plant Growth Supplement for Flowering, Vegetables and Fruits",1232.48,4.0,agriculture
"Plant Growth_ Liquid Plant Growth Enhancer Supplement- Root Enhancer For Plants, Pot Plant Growth Enhancers, Take Root Rooting Hormone Supplement For Transplant (2 lit)",1404.74,5.0,agriculture
COIR GARDEN - SEA WEED EXTRACT GRANULES- SEA WEED FERTILIZER FOR PLANTS GROWTH PROMOTER - 5 KG,620.02,5.0,agriculture
