product_name,date,quantity_sold,revenue,customer_id,month,year,category,price_band
"OrganoMagic Liquid Plant Booster | Speed Growth & Immunity | NPK Plant Growth Supplement | Organic Manure for Home, Indoor & Outdoor Garden | 5 Ltr",2023-10-21,4.0,1106.6,CUST_5774,10,2023,agriculture,Low
"OrganoMagic Liquid Plant Booster | Speed Growth & Immunity | NPK Plant Growth Supplement | Organic Manure for Home, Indoor & Outdoor Garden | 5 Ltr",2023-11-08,4.0,1106.6,CUST_4801,11,2023,agriculture,Low
"OrganoMagic Liquid Plant Booster | Speed Growth & Immunity | NPK Plant Growth Supplement | Organic Manure for Home, Indoor & Outdoor Garden | 5 Ltr",2024-05-18,17.0,4703.05,CUST_2065,5,2024,agriculture,Low
IFFCO Urban Gardens - Sea Secret - 1Kg - Seaweed Extract Granules Ã¢â‚¬â€œ Organic Plant Growth Promoter & Bio-Stimulant,2024-01-03,4.0,6418.52,CUST_2149,1,2024,agriculture,Mid
IFFCO Urban Gardens - Sea Secret - 1Kg - Seaweed Extract Granules Ã¢â‚¬â€œ Organic Plant Growth Promoter & Bio-Stimulant,2023-12-05,6.0,9627.78,CUST_2478,12,2023,agriculture,Mid
"IFFCO Urban Gardens - Green Diet - 500 ML - Organic Plant Food, Liquid Fertilizer For Potted Indoor & Outdoor plants, Balanced Macro & Micro Nutrients, Ready to Use Spray",2024-03-24,7.0,3899.56,CUST_4933,3,2024,agriculture,Low
"IFFCO Urban Gardens - Green Diet - 500 ML - Organic Plant Food, Liquid Fertilizer For Potted Indoor & Outdoor plants, Balanced Macro & Micro Nutrients, Ready to Use Spray",2024-09-06,7.0,3899.56,CUST_2622,9,2024,agriculture,Low
IFFCO Urban Gardens - Dr Neem+ Cake Powder/Neem Khali - 9Kg - Extracted Through Cold Press Technology - Higher Azadirachtin & Neem Oil Content - Organic Fertilizer and Pest Repellent for Plants,2023-11-28,6.0,9601.5,CUST_4646,11,2023,agriculture,Mid
IFFCO Urban Gardens - Dr Neem+ Cake Powder/Neem Khali - 9Kg - Extracted Through Cold Press Technology - Higher Azadirachtin & Neem Oil Content - Organic Fertilizer and Pest Repellent for Plants,2024-08-26,11.0,17602.75,CUST_7255,8,2024,agriculture,High
IFFCO Urban Gardens - Dr Neem+ Cake Powder/Neem Khali - 9Kg - Extracted Through Cold Press Technology - Higher Azadirachtin & Neem Oil Content - Organic Fertilizer and Pest Repellent for Plants,2024-05-18,7.0,11201.75,CUST_1502,5,2024,agriculture,High
IFFCO Urban Gardens - Dr Neem+ Cake Powder/Neem Khali - 9Kg - Extracted Through Cold Press Technology - Higher Azadirachtin & Neem Oil Content - Organic Fertilizer and Pest Repellent for Plants,2023-11-19,7.0,11201.75,CUST_6680,11,2023,agriculture,High
"YATAN NANDANI Dairy Vermicompost, Organic Supplement for Agriculture, 5.6-14.4% Organic Carbon, 0.8-1.8% Nitrogen",2024-03-21,10.0,9890.5,CUST_9012,3,2024,agriculture,Mid
"YATAN NANDANI Dairy Vermicompost, Organic Supplement for Agriculture, 5.6-14.4% Organic Carbon, 0.8-1.8% Nitrogen",2024-01-07,17.0,16813.85,CUST_1178,1,2024,agriculture,High
